actor,gross,budget,num
Zelda Rubinstein,0,0,0
Bryce Dallas Howard,760171974,3.33e+08,6
Jeffrey Wright,50406964,8.2e+07,2
Neil Young,0,0,0
Emmylou Harris,0,0,0
Pegi Young,0,0,0
Malcolm Stumpf,9089,50000,1
Patrick White,9089,50000,1
Max Paradise,9089,50000,1
Laura Regan,1662218,1.4e+07,4
Steven Strait,131404077,1.37e+08,4
Sebastian Stan,33153701,5.4e+07,3
Toby Hemingway,23292609,23200000,3
Patrick Dempsey,82595465,6.6e+07,3
Dyllan Christopher,16647384,2.6e+07,1
Tyler James Williams,16647384,2.6e+07,1
Gia Mantegna,16647384,2.6e+07,1
Jaime Pressly,17794797,2.5e+07,2
Sarah Carter,480314,2.1e+07,1
Michael Carbonaro,654132,5e+05,1
Jonathan Chase,654132,5e+05,1
Jonah Blechman,654132,5e+05,1
John Cena,31076251,4.2e+07,2
Robert Patrick,147438615,1.1e+08,3
Hayden Panettiere,60141389,9.8e+07,4
Jake McDorman,0,0,0
JoJo Wright,0,0,0
Big Boi,12549485,1.5e+07,1
André Benjamin,46245872,7.8e+07,3
Tammy Blanchard,16216494,6600000,2
Manny Perez,16216494,6600000,2
Tommy Flanagan,47860214,1.5e+07,1
Katie Cassidy,71039517,3.5e+07,2
Brooke Nevin,0,0,0
David Paetkau,0,0,0
Torrey DeVitto,0,0,0
Isla Fisher,330950236,4.52e+08,6
Michael Weston,0,0,0
James Belushi,37371315,8e+07,1
Eddie Izzard,37371315,8e+07,1
Edison Chen,39143839,2e+07,1
Anjali Jay,0,0,0
Mary Elizabeth Winstead,65012994,107500000,4
Craig Kilborn,61112916,5e+07,1
Jaimie Alexander,40064,8900000,2
Joseph George Mendicino,0,0,0
Deanna Russo,0,0,0
Corri English,0,0,0
Scot Davis,0,0,0
Joshua Alba,0,0,0
Lauren London,0,0,0
Evan Ross,0,0,0
Jamie Anderson,0,0,0
Alexie Gilmore,0,0,0
Stephanie Szostak,0,0,0
Roderick Hill,0,0,0
Greg Ginn,0,0,0
Ian MacKaye,0,0,0
Lucky Lehrer,0,0,0
Luke Benward,0,0,0
Hallie Kate Eisenberg,0,0,0
Adam Hicks,0,0,0
Natalie Maines,0,0,0
Emily Robison,0,0,0
Martie Maguire,0,0,0
Laura Prepon,0,0,0
Yuval David,0,0,0
David Grant Beck,0,0,0
Alex Pettyfer,249211431,2.01e+08,7
Ed Green,0,0,0
John Carpenter,0,0,0
Wes Craven,0,0,0
Jordana Spiro,10018,1e+06,1
Mohammed Haithem,0,0,0
Suleiman Mahmoud,0,0,0
Muqtada al-Sadr,0,0,0
Justin Gross,0,0,0
Grey Griffin,0,0,0
Michael Massee,0,0,0
Frank Black,0,0,0
Carrie Brownstein,0,0,0
Mey Bun,0,0,0
Will Shortz,0,0,0
Ken Burns,0,0,0
Jon Stewart,7382993,2e+07,1
Ken Marino,0,0,0
Viola Davis,409228097,1.75e+08,7
Steve Lemme,19179969,17500000,1
Maryam d'Abo,0,0,0
Dan Castellaneta,183132370,7.5e+07,1
Laura Jordan,1957816,4800000,2
Nicholas Gonzalez,0,0,0
Matt Bushell,0,0,0
Bonnie Henna,4291965,1.4e+07,1
David Ames,0,0,0
Leigh Enns,0,0,0
Susan Kelso,0,0,0
Traci Lords,0,0,0
Frank Whaley,18986844,1.9e+07,1
Dina Meyer,0,0,0
Jake T. Austin,73023275,3.5e+07,1
Brian Dennehy,0,0,0
Amber Heard,38504094,8e+07,4
Anson Mount,0,0,0
Whitney Able,0,0,0
James McAvoy,367339263,462500000,13
Nicollette Sheridan,16208138,4e+07,2
Hannah Marks,0,0,0
Guy Camilleri,0,0,0
Chevy Chase,11631245,3.5e+07,1
Allen Covert,13126714,4e+07,2
Linda Cardellini,150315155,5e+07,1
Shirley Jones,0,0,0
Bear Badeaux,0,0,0
Tab Benoit,0,0,0
Peggy Burgard,0,0,0
Annabeth Gish,0,0,0
Amy Jo Johnson,0,0,0
Reba McEntire,0,0,0
Rory Cochrane,0,0,0
Tony Perez,0,0,0
Kendra C. Johnson,7059537,3e+06,1
Jimmy Jean-Louis,7059537,3e+06,1
Wesley Jonathan,7009668,5600000,1
Winson '2Pac' Jean,0,0,0
Wyclef Jean,0,0,0
James 'Bily' Petit Frère,0,0,0
Scott Wilson,0,0,0
Gerald McRaney,49875589,5.8e+07,1
Jason Dolley,0,0,0
Billy Zane,0,0,0
Tricia Helfer,0,0,0
Matthew Settle,1036886,1e+07,1
Thomas Kretschmann,1036886,1e+07,1
Sarah Wayne Callies,1036886,1e+07,1
Nikki Deloach,0,0,0
Cengiz Bozkurt,0,0,0
Demet Akbag,0,0,0
Logan Lerman,303909916,3.13e+08,6
Brie Larson,118093381,5.3e+07,3
Marc Anthony,0,0,0
John Ortiz,0,0,0
Chris Penn,95396,3e+06,1
Brian F. Durkin,0,0,0
Jason Leith,0,0,0
Richard Tillman,0,0,0
Tara Wilson,0,0,0
William Gazecki,0,0,0
Jacque Fresco,0,0,0
Larry King,0,0,0
Rachael Bella,0,0,0
William Sadler,0,0,0
Brad Renfro,53481,8e+06,1
Tiffany Dupont,13391174,2e+07,1
Luke Goss,13391174,2e+07,1
John Noble,13391174,2e+07,1
Avrielle Corti,0,0,0
Zack Shada,0,0,0
Amy Adams,1385064115,776700000,16
Henry Czerny,0,0,0
Michelle Merring,0,0,0
Frederick Charles Canada,0,0,0
Julie Cox,0,0,0
Alan McKenna,0,0,0
Jascha Washington,0,0,0
Kel Mitchell,0,0,0
Michael Beach,0,0,0
Golden Brooks,0,0,0
Angie Harmon,0,0,0
Jordan Hinson,0,0,0
Tim Daly,0,0,0
Powers Boothe,0,0,0
Dana Delany,28943,2500000,1
Izabella Miko,0,0,0
Columbus Short,158158842,6.6e+07,4
Jacqueline Bisset,0,0,0
Tim Blake Nelson,118658,1.1e+07,2
Steve Polites,0,0,0
Katie Sirk,0,0,0
Samuel Klein,0,0,0
Judah Friedlander,10060,3e+06,1
Brandon Colt,0,0,0
Craig Hamilton,0,0,0
Joe Phillips,0,0,0
Tamlyn Tomita,142060,3300000,1
Lane Nishikawa,142060,3300000,1
Greg Watanabe,142060,3300000,1
Christopher Guest,5542025,1.2e+07,1
Jesse Abbott-Dallamora,0,0,0
Robert Bonazoli,0,0,0
Tyler DiVittorio,0,0,0
Daniella Alonso,0,0,0
Jessica Custodio,0,0,0
Zak Kilberg,0,0,0
Terry Erioski,0,0,0
Khaled Abol Naga,54902,3400000,1
Richard Schiff,54902,3400000,1
Ken Barnett,0,0,0
Brian Letscher,0,0,0
Herold Noel,0,0,0
Robert Acosta,0,0,0
Sean Huze,0,0,0
Oliver Hudson,0,0,0
Christy Carlson Romano,0,0,0
Ross Thomas,0,0,0
Scott Thompson Baker,0,0,0
Rachel Miner,0,0,0
Mimi Rogers,2557668,2e+06,1
Chad Todhunter,0,0,0
Jeff Branson,0,0,0
Jess Weixler,13118,2e+06,2
William Fichtner,290867936,3.9e+08,3
Carly Schroeder,3026943,11500000,2
Adrian Dunbar,71904,2500000,1
George Harris,71904,2500000,1
Lou Doillon,0,0,0
John Hayden,0,0,0
Richard Riehle,0,0,0
Michael Weatherly,0,0,0
Melinda Page Hamilton,0,0,0
Brian Posehn,0,0,0
Sam Hennings,3347439,7500000,1
Eric Johnson,3347439,7500000,1
Alexander Carroll,3347439,7500000,1
Theresa Randle,0,0,0
Rutger Hauer,0,0,0
Kallean de Castelbajac,0,0,0
Louis-Marie de Castelbajac,0,0,0
Rory Kozoll,0,0,0
Charlene Amoia,0,0,0
Vartan Latyre,0,0,0
Richard Epcar,0,0,0
Eddie Frierson,0,0,0
Blair Underwood,63231524,6e+06,1
Thijs Römer,0,0,0
Lauren Birkell,0,0,0
Jane Gilchrist,0,0,0
Arcade Fire,0,0,0
Connie Britton,14471735,33250000,3
Daniel Tay,7781413,2.8e+07,2
Frank Edward Nora,0,0,0
Howard Wen,0,0,0
Dreya Weber,0,0,0
Addie Yungmee,0,0,0
David De Simone,0,0,0
Christian Oliver,0,0,0
Dean Stapleton,0,0,0
Courtney Mace,0,0,0
Ivana Milicevic,0,0,0
Brad Hunt,0,0,0
Bill McCreight,0,0,0
Jon Stafford,0,0,0
Charles Grodin,0,0,0
Bruno Alexander,0,0,0
Reedy Gibbs,0,0,0
Katie B. Robertson,0,0,0
Heidi Sulzman,0,0,0
Daniel Cariaga,0,0,0
Kimberly-Rose Wolter,0,0,0
Erik McDowell,0,0,0
Christos Sourmelis,0,0,0
Marissa Becker,0,0,0
Dain Blanton,0,0,0
Garrett Jones,0,0,0
Juliet Reeves London,0,0,0
William Howard Bowman,0,0,0
Chris Bell,0,0,0
Benjamin Budd,0,0,0
Tylan Canady,0,0,0
Christine Baranski,0,0,0
Laura Benanti,0,0,0
Lou Diamond Phillips,0,0,0
Bruce Weitz,0,0,0
Glenn Plummer,0,0,0
Sarah Heinke,0,0,0
Rachel Ware,0,0,0
Samantha Triba,0,0,0
Jacquelyn Morgan,0,0,0
Cybill Shepherd,0,0,0
Jack Brand,0,0,0
Cavan Curry,0,0,0
Matt Dallas,0,0,0
Adam Huss,0,0,0
Jeremy Radin,0,0,0
Leyla Milani,0,0,0
Danny McBride,70949335,149900000,2
Ben Best,0,0,0
Mary Jane Bostic,0,0,0
Vincent Pastore,0,0,0
Michael Gibney,0,0,0
Paul DeAngelo,0,0,0
Éric Rohmer,0,0,0
Barbet Schroeder,0,0,0
Bryan Fisher,0,0,0
Jeff Roop,0,0,0
Brianna Brown,0,0,0
Joshua DesRoches,0,0,0
Sid Haig,0,0,0
Stephen Prince,0,0,0
Joan Mellen,0,0,0
Tadao Sato,0,0,0
Tate Ellington,21298,1500000,1
Florence Faivre,21298,1500000,1
Corey Sevier,0,0,0
Ryan Carnes,0,0,0
Jennifer Shirley,0,0,0
Blake Woodruff,0,0,0
Lisa Lovbrand,0,0,0
David Kennedy,0,0,0
Eva Pope,0,0,0
Imelda Staunton,36581633,2.1e+07,1
Fan Bo,0,0,0
Liu Hao,0,0,0
Xin Shuang,0,0,0
David Keith,0,0,0
Paris Hilton,27696,9e+06,1
Max Baker,4210,250000,1
A.J. Castro,0,0,0
Julia Ruiz,0,0,0
Giovanni Bejarano,0,0,0
Elina Madison,0,0,0
Jeff Doba,0,0,0
Bryan Kent,0,0,0
Larry the Cable Guy,211238180,211500000,3
David Koechner,58248195,1.9e+07,2
Michael Papajohn,15655665,4e+06,1
Ellen Hollman,0,0,0
Richard Norton,0,0,0
Austen Chong,0,0,0
Casey Hoffman,0,0,0
Mimi Chao,0,0,0
Nick Damici,36938,1300000,2
Kim Blair,0,0,0
Ron Brice,0,0,0
Ben McKenzie,33861768,6e+07,2
David Beste,0,0,0
Ryan Carman,0,0,0
Greg Velasquez,0,0,0
Jon Osbeck,0,0,0
Joe Lorenzo,0,0,0
Daniel Alan Kiely,0,0,0
Tim Dutton,0,0,0
Anthony 'Treach' Criss,0,0,0
Nia Peeples,0,0,0
Blu Mankuma,0,0,0
Blythe Metz,0,0,0
Luciano Szafir,0,0,0
David Heap,0,0,0
Alan Smyth,0,0,0
JJ Feild,233520,2.4e+07,1
Saïd Taghmaoui,233520,2.4e+07,1
Maria Papas,233520,2.4e+07,1
David Lee Smith,0,0,0
Tony Todd,0,0,0
John Billingsley,0,0,0
Sean Hayes,186904112,9e+07,2
Hayley McFarland,0,0,0
Nick Searcy,0,0,0
Paul Dano,43729362,56100000,7
Ciarán Hinds,125030659,1.19e+08,3
Michael Cera,280374254,172500000,6
Julie Kavner,183132370,7.5e+07,1
Nancy Cartwright,183132370,7.5e+07,1
Tucker Albrizzi,24530513,9e+06,1
Tony Benn,24530513,9e+06,1
Ryan Kwanten,16545445,2e+07,1
Donnie Wahlberg,16545445,2e+07,1
Keri Russell,398594997,325500000,7
Alice Braga,270149346,1.82e+08,2
Charlie Tahan,287523166,1.94e+08,2
Khalid Abdalla,15797907,2e+07,1
Ahmad Khan Mahmoodzada,15797907,2e+07,1
Atossa Leoni,15797907,2e+07,1
Giovanna Mezzogiorno,4584886,4.5e+07,1
Rose McGowan,67572845,1.93e+08,3
Laurie Holden,25592632,1.8e+07,1
Zoë Bell,0,0,0
Scott Porter,44019165,3.6e+07,3
Scott Rowland,0,0,0
Stefan Pashov,0,0,0
Charlie Cox,39413795,1.06e+08,2
Freddy Rodríguez,0,0,0
Sam Shepard,3908012,4e+07,2
Jim Sturgess,174942385,1.75e+08,4
Joe Anderson,24343673,4.5e+07,1
Kenny Ausubel,0,0,0
Thom Hartmann,0,0,0
Tony Doupe,0,0,0
Aaron Blakely,0,0,0
Alena Dashiell,0,0,0
Erin McGrane,0,0,0
Brian Paulette,0,0,0
Armin Mueller-Stahl,0,0,0
Olga Kurylenko,233040823,2.39e+08,3
Jim Blinn,0,0,0
Eben Ostby,0,0,0
Craig Good,0,0,0
Alexandra Maria Lara,239495,5e+06,1
Bruno Ganz,34420449,3.7e+07,2
Imogene Robinson,0,0,0
Victor Robinson,0,0,0
Gene Robinson,0,0,0
Jacob Kogan,0,0,0
Kathy Baker,0,0,0
Amy Brenneman,0,0,0
Richard Jenkins,267799886,1.81e+08,6
Haaz Sleiman,0,0,0
Danai Gurira,0,0,0
Abigail Breslin,209948907,126500000,6
Piper Laurie,256184,7500000,2
Philip Bosco,0,0,0
Katey Sagal,0,0,0
John DiMaggio,0,0,0
Rose Byrne,746126850,231500000,8
Scoot McNairy,91611577,50025000,2
Sara Simmonds,172177,25000,1
Brian McGuire,172177,25000,1
Teri Garr,0,0,0
David Cross,437169065,145800000,4
Cameron Richardson,217326336,6e+07,1
Emily Churchill,50080,2e+06,1
Rebecca Spence,50080,2e+06,1
Ye Liu,0,0,0
Peng Chi,0,0,0
Eddie Redmayne,48244161,185200000,3
John Hensley,0,0,0
Josh Pais,0,0,0
Willis Burks II,0,0,0
Naveen Andrews,36789772,7e+07,1
Reece Thompson,712391,6e+06,1
Anna Kendrick,629767071,217070000,11
Nicholas D'Agosto,60519400,6.6e+07,3
Seth Rogen,867376787,4.71e+08,13
Jason Bateman,649434179,459800000,14
Julian McMahon,47852604,2e+07,1
Gabe Nevins,0,0,0
Daniel Liu,0,0,0
Taylor Momsen,0,0,0
Melvil Poupaud,955625,2e+06,1
Matt Long,11702090,16500000,1
Eva Amurri Martino,317986,1.3e+07,2
Jenna Fischer,37535228,8e+07,3
David Krumholtz,36634302,7e+07,2
Hayley Atwell,0,0,0
Dan Fogler,222025031,351800000,9
Ray Winstone,154225168,3.35e+08,3
Bobby Coleman,14973812,5.4e+07,2
Laurel Hester,0,0,0
Stacie Andree,0,0,0
Dane B. Wells,0,0,0
Dakota Blue Richards,70083519,1.8e+08,1
Dan Futterman,9172810,1.6e+07,1
Kathleen Gati,214202,1.2e+07,1
Paulina Gaitan,214202,1.2e+07,1
Jason Ritter,25823,5500000,2
Daniel Hansen,0,0,0
Wesley Singerman,0,0,0
Alexa Davalos,0,0,0
Buzz Aldrin,1134049,2e+06,1
Neil Armstrong,1134049,2e+06,1
Stephen Armstrong,1134049,2e+06,1
Michael Buscemi,0,0,0
Mae Whitman,34017854,8500000,1
Gerald Burke,1430185,2e+06,1
Ali Fadhil,1430185,2e+06,1
Kathryn Morris,3169424,1.3e+07,1
Eugenio Derbez,0,0,0
Kate del Castillo,2110,6e+06,1
Adrian Alonso,0,0,0
Danny Huston,97339749,1.22e+08,3
Melissa McCarthy,354918926,1.28e+08,3
Michael Sheen,82988627,1.05e+08,3
Reiko Aylesworth,41797066,4e+07,1
Steven Pasquale,41797066,4e+07,1
Bruce McFee,0,0,0
Daniel Gillies,2649854,1.8e+07,2
Pruitt Taylor Vince,2626800,1.7e+07,1
Hugo Armstrong,0,0,0
Rosalind Chao,0,0,0
Alex Gibney,274661,1e+06,1
Brian Keith Allen,274661,1e+06,1
Moazzam Begg,274661,1e+06,1
Christopher Daniel Barnes,0,0,0
Susanne Blakeslee,0,0,0
Nadine Velazquez,116216197,5.6e+07,2
Katrina Agate,0,0,0
Zain Ali,0,0,0
Rainn Wilson,205385648,1.95e+08,4
Michael Welch,0,0,0
Jennifer Carpenter,31915348,2e+07,2
Isaach De Bankolé,223537,8e+06,1
M. Emmet Walsh,0,0,0
Andy Samberg,533355725,3.57e+08,5
Ian McShane,551159140,5.52e+08,5
Alejandro Polanco,0,0,0
Isamar Gonzales,0,0,0
Rob Sowulski,0,0,0
Bill Irwin,0,0,0
Michael Wright,0,0,0
Sharon Leal,72567703,2e+07,2
Tate Donovan,25584685,2e+07,1
Jerry Seinfeld,126597121,1.5e+08,1
Patrick Carroll,65087,5e+06,1
Rob Devaney,65087,5e+06,1
Izzy Diaz,65087,5e+06,1
Amy Poehler,621905910,2.96e+08,4
John Krasinski,112093517,1.65e+08,5
Max von Sydow,140080850,1.4e+08,1
Malin Akerman,222979282,1.97e+08,6
M. Ward,0,0,0
Steve Talley,0,0,0
Christopher McDonald,6842058,1e+07,1
Justin Chatwin,29921892,7.5e+07,2
Margarita Levieva,20568319,3e+07,1
Don Harvey,0,0,0
Douglas Ligon,0,0,0
Barlow Jacobs,0,0,0
Andrew Blake Ames,0,0,0
Jason Currie,0,0,0
Jaymes Hodges,0,0,0
Tanc Sade,23563,5e+06,1
Patton Oswalt,66650727,4.7e+07,3
Rachel Nichols,29856254,4.3e+07,2
Simon Reynolds,3992339,8e+06,1
Madison Pettis,90636983,2.2e+07,1
Steve Austin,0,0,0
Vinnie Jones,0,0,0
Nathan Jones,0,0,0
Brendan Gleeson,24992512,1.03e+08,2
Emily VanCamp,6900,3e+06,1
Marla Olmstead,0,0,0
Laura Olmstead,0,0,0
Mark Olmstead,0,0,0
Philip Glass,0,0,0
Holly Critchlow,0,0,0
Chuck Close,0,0,0
Elisabeth Harnois,0,0,0
Sean Patrick Flanery,10269307,8e+06,1
Summer Bishil,0,0,0
Peter Macdissi,0,0,0
Tori Spelling,31937,5e+05,1
Philipp Karner,31937,5e+05,1
James O'Shea,31937,5e+05,1
Dylan McDermott,35374833,1.6e+07,1
Jerry Hoffman,0,0,0
Jennifer Aguilar,0,0,0
Michael Ashcraft,0,0,0
Zachary Knighton,16366370,1e+07,1
Neal McDonough,15984437,34500000,3
Jaime Murray,0,0,0
Christina Cole,0,0,0
Dylan Walsh,0,0,0
Jenny Edwards,0,0,0
Steve Wiebe,0,0,0
Billy Mitchell,0,0,0
Mark Alpiger,0,0,0
Paul Borghese,0,0,0
Chira Cassel,0,0,0
Brent Gorski,16747,55000,1
Christopher Wyllie,16747,55000,1
Melissa Searing,16747,55000,1
Scout Taylor-Compton,91653389,3e+07,2
Tyler Mane,91653389,3e+07,2
Michelle Morgan,1905240,4e+06,2
Joshua Close,1905240,4e+06,2
Shawn Roberts,1905240,4e+06,2
Harold Pinter,0,0,0
Preston Lacy,0,0,0
Adam Baldwin,0,0,0
Anne Heche,0,0,0
James Marsters,9353573,4.5e+07,1
Russell Hornsby,67152,5e+06,1
Richard Petrocelli,0,0,0
Nicolle Rochelle,0,0,0
Jay Jablonski,1052403,3300000,3
Cerina Vincent,1052403,3300000,3
John Kapelos,1052403,3300000,3
Janusz Kaminski,0,0,0
Caleb Deschanel,0,0,0
Sydney Pollack,0,0,0
Jesse Archer,72348,125000,1
Paul Haje,72348,125000,1
Charlie David,72348,125000,1
Ken Leung,0,0,0
Lou Reed,0,0,0
Fernando Saunders,0,0,0
Sharon Jones,0,0,0
Jan Harlan,0,0,0
John Calley,0,0,0
David Hughes,0,0,0
Miles Heizer,0,0,0
Keller Wortham,0,0,0
Shari Solanis,0,0,0
Luis Fernandez-Gil,0,0,0
Stacy Chbosky,0,0,0
Ben Messmer,0,0,0
Samantha Robson,0,0,0
Roy Scheider,0,0,0
Ayelet Kaznelson,0,0,0
John Hines,0,0,0
Bob Bledsoe,0,0,0
Earl L. Butz,0,0,0
Dawn Cheney,0,0,0
Anessa Ramsey,597420,50000,1
Justin Welborn,597420,50000,1
Scott Poythress,597420,50000,1
Paul Nakauchi,0,0,0
Kevin Michael Richardson,0,0,0
John Baxter,0,0,0
Paul Duncan,0,0,0
Diane Johnson,0,0,0
Joel David Moore,27696,9e+06,1
Zachary Levi,420420653,3.35e+08,2
Dave Foley,0,0,0
Verne Troyer,0,0,0
Zack Ward,0,0,0
Dominic Purcell,0,0,0
Clancy Brown,19821956,6e+07,2
Moon Bloodgood,10232081,2e+07,1
Ashley Benson,14123773,5e+06,1
Cassandra Scerbo,0,0,0
Noel Areizaga,0,0,0
Bill Engvall,0,0,0
Dennis Avner,0,0,0
Joe Aylward,0,0,0
Corey Busboom,0,0,0
Julie Gonzalo,0,0,0
Dennis Muren,0,0,0
David Chisum,0,0,0
Kristen Kerr,0,0,0
Kevin J. O'Connor,0,0,0
Skyler Shaye,0,0,0
Janel Parrish,0,0,0
Logan Browning,0,0,0
Melonie Diaz,16114321,1900000,2
Ana Mercedes,16479,1e+06,1
Cecile Rivore,16479,1e+06,1
Jefferson Moore,0,0,0
Ruby Lewis,0,0,0
Chloe Allen,0,0,0
Dana Snyder,5518918,750000,1
Dave Willis,5518918,750000,1
Carey Means,5518918,750000,1
Jamie McShane,0,0,0
Sebastian Feldman,0,0,0
Spencer Redford,0,0,0
Larry Bishop,0,0,0
Ido Port,401538,1700000,1
Gilya Stern,401538,1700000,1
Molly Shannon,19528188,2.5e+07,1
Darrell Hammond,0,0,0
Steve Burns,0,0,0
Amanda Righetti,64997188,1.9e+07,1
Idris Elba,339873007,355200000,7
Tracee Ellis Ross,31339647,1e+07,1
Brian Presley,204068,5e+06,1
Jake Muxworthy,0,0,0
Rider Strong,0,0,0
Danielle Savre,0,0,0
Matt Cohen,0,0,0
Chrissy Calhoun,0,0,0
Emily Blunt,486505296,744450000,12
Ashton Holmes,20146,6e+06,1
Adam Rifkin,0,0,0
Hayes MacArthur,0,0,0
Louise Fletcher,379643,2200000,1
Liana Liberato,379643,2200000,1
Adam Carolla,885276,1700000,2
Oswaldo Castillo,885276,1700000,2
Thomas Lennon,20339754,1e+07,1
Robert Ben Garant,20339754,1e+07,1
Kerri Kenney,20339754,1e+07,1
Tara Gerard,0,0,0
Vanessa Viola,0,0,0
Kelsey Wedeen,0,0,0
Alessandro Juliani,0,0,0
Ingrid Backstrom,0,0,0
Anselme Baud,0,0,0
Bill Briggs,0,0,0
Jaymie Dornan,0,0,0
Teresa Palmer,66406433,3.9e+07,2
Lee Cormie,46474,4e+06,1
David Lee McInnis,13720,3500000,1
Joseph Y. Kim,13720,3500000,1
Brad Anderson,0,0,0
Desmond Dutcher,0,0,0
Mark Ford,0,0,0
Pat Healy,455502,1220000,3
Kene Holiday,0,0,0
John Baker,0,0,0
Arthur C. Clarke,0,0,0
Anthony Frewin,0,0,0
Anthony John Crane,0,0,0
Gina St. John,0,0,0
Alexander Ludwig,38919701,6e+07,2
Lochlyn Munro,13235267,6e+06,1
Richard Gant,13235267,6e+06,1
Hazel Armenante,0,0,0
Nicole Barré,0,0,0
Marc Worden,0,0,0
Gwendoline Yeo,0,0,0
Fred Tatasciore,0,0,0
Jerry Adler,0,0,0
Bryan Fox,0,0,0
Lindsay Gareth,0,0,0
Casey Graf,0,0,0
Li Ling,0,0,0
Brian Danforth,0,0,0
Minghua Tan,0,0,0
Andrew Shue,2955039,9e+06,1
Aaron Yoo,31487293,9e+06,1
Olesya Rulin,0,0,0
Carlton Bluford,0,0,0
Marc Winnick,0,0,0
Jason Cottle,15213,750000,1
Casey Curran,15213,750000,1
Ethan Atkinson,15213,750000,1
Lew Alexander,0,0,0
Todd Anderson,0,0,0
Richard Barela,0,0,0
Austin Basis,0,0,0
Jane Edith Wilson,0,0,0
Al Vicente,0,0,0
Derek Long,0,0,0
Matthew Montgomery,0,0,0
Alexandra Billings,0,0,0
Nicole Abisinio,0,0,0
Joli Julianna,0,0,0
Matt Fraley,0,0,0
Corbin Bleu,0,0,0
Monique Coleman,0,0,0
Lucas Grabeel,0,0,0
Chad Faust,0,0,0
Marcus Patrick,0,0,0
Robert Forster,0,0,0
Eric Schaefer,0,0,0
Eddie Muller,0,0,0
Jimmy Tsai,0,0,0
Andrew Vo,0,0,0
Khary Payton,0,0,0
Selina Giles,0,0,0
Roger Fan,52850,5e+05,1
Dustin Nguyen,52850,5e+05,1
Adetola Abiade,196990,2e+06,1
Paul Allen,196990,2e+06,1
Paul Norman Allen,196990,2e+06,1
Bijou Phillips,0,0,0
Ryan Pinkston,0,0,0
Teri Polo,296767560,2e+08,2
Mila Kunis,565288127,4.17e+08,7
Gregory Smith,0,0,0
W.H. Auden,0,0,0
Don Bachardy,0,0,0
Ted Bachardy,0,0,0
Ahmed Mahammed Abaka,0,0,0
Sheikh Ahmed Mohamad Abakar,0,0,0
Matthew Modine,0,0,0
Michèle Laroque,0,0,0
Katie Walder,0,0,0
Emil Hostina,0,0,0
Greta Gerwig,0,0,0
Kent Osborne,0,0,0
Andrew Bujalski,0,0,0
Carl Weathers,0,0,0
Eliza Bennett,34563664,1.2e+08,2
Deirdre O'Connell,0,0,0
Paulo Araujo,398420,8e+06,1
Ty Thomas Reed,398420,8e+06,1
Sam Worthington,1102506833,7.59e+08,9
Nadia Bjorlin,6877133,2.6e+07,1
Eddie Griffin,6877133,2.6e+07,1
Jack Bisbee,0,0,0
Jeremy Myers,0,0,0
Kateri Walker,0,0,0
Chelsea Ricketts,0,0,0
Elana Drago,0,0,0
Nasser Memarzia,0,0,0
Louis C.K.,84336890,7e+07,2
James Earl Jones,84336890,7e+07,2
Vincent Piazza,0,0,0
Alan Barnes Netherton,0,0,0
Alejandra Ambrosi,0,0,0
Emmanuelle Vaugier,0,0,0
Beau Garrett,0,0,0
Jon Bernthal,13800,2e+06,1
Will Forte,284175975,2e+08,6
Rutina Wesley,0,0,0
Tre Armstrong,0,0,0
Brennan Gademans,0,0,0
Benjamin Gourley,0,0,0
Stella Arroyave,0,0,0
Billy Aaron Brown,0,0,0
Rebecca Mozo,0,0,0
Richard Moll,0,0,0
Mr. Freeze,0,0,0
Luis Mateo,0,0,0
Maria Menounos,0,0,0
George Stults,0,0,0
Elisabeth Moss,1023270,2e+05,2
Catherine Mary Stewart,0,0,0
John Savage,0,0,0
Grace Thorsen,346132,3e+06,2
Taylor Sharpe,346132,3e+06,2
Russi Taylor,0,0,0
Bruce Boxleitner,0,0,0
Tracy Scoggins,0,0,0
Peter Woodward,0,0,0
Joshua Benton,0,0,0
Sarah Grant Brendecke,0,0,0
David Crane,0,0,0
Patrick Kilpatrick,0,0,0
Jimmy Carter,0,0,0
Rosalynn Carter,0,0,0
Lillian Carter,0,0,0
Johnny Messner,0,0,0
Jon Huertas,95,4e+06,1
Daniel Benzali,0,0,0
Carmen Serano,0,0,0
Adele Hammond,0,0,0
John Harlin III,0,0,0
Lisa Vidal,0,0,0
Joshua Pelegrin,0,0,0
Gemma Ward,105068590,2e+07,2
Joe Estevez,0,0,0
Todd Bridges,0,0,0
Elias Castillo,0,0,0
Julianna Robinson,0,0,0
Michael Grant Terry,0,0,0
Stephen McHattie,0,0,0
Kristin Booth,0,0,0
Elliott Gould,938232,1e+07,1
Antwon Tanner,0,0,0
Jay Baruchel,490484606,487800000,6
Mark Bazeley,0,0,0
Steve Toussaint,0,0,0
Kevin Sorbo,60753735,2e+06,1
Richard Dillard,0,0,0
Gail Cronauer,0,0,0
Stacie Bono,0,0,0
Justina Machado,0,0,0
Jeffrey Dean Morgan,72650274,3.9e+07,2
Ed Speleers,75030163,1e+08,1
Sterling Nesbitt,0,0,0
Alan H. Turner,0,0,0
Mike Brune,0,0,0
Anna Chlumsky,0,0,0
Katie Orr,0,0,0
Steven Mackintosh,0,0,0
Kathleen Chalfant,0,0,0
Robert Davi,0,0,0
Peter Bogdanovich,0,0,0
Tom Bailey,0,0,0
Becca Connolly,0,0,0
